attack,column,missing_count,rows
blackhole,SEGMENT_ID,43074,43442
blackhole,APP_LAYER_ARRIVAL_TIME(US),43074,43442
blackhole,TRX_LAYER_ARRIVAL_TIME(US),43074,43442
blackhole,NW_LAYER_ARRIVAL_TIME(US),7071,43442
blackhole,APP_LAYER_PAYLOAD(Bytes),43074,43442
blackhole,TRX_LAYER_PAYLOAD(Bytes),43074,43442
blackhole,NW_LAYER_PAYLOAD(Bytes),7071,43442
blackhole,LOCAL_ADDRESS,43442,43442
blackhole,REMOTE_ADDRESS,43442,43442
blackhole,CWND,43442,43442
blackhole,SEQ_NO,43442,43442
blackhole,ACK_NO,43442,43442
blackhole,isSyn,43442,43442
blackhole,isAck,43442,43442
blackhole,isFin,43442,43442
blackhole,SEGMENT_LEN,43442,43442
blackhole,RSSI(dbm),33,43442
blackhole,TX_RX_Distance,33,43442
blackhole,Node_Type,16,43442
blackhole,NEIGHBOUR_COUNT,16,43442
blackhole,Source_Rank,16,43442
blackhole,Parrent_Node,2328,43442
blackhole,Number_of_Sibils,2328,43442
blackhole,Parents_Count,2328,43442
blackhole,LQ_SN_PN,2328,43442
blackhole,Sibiling_Same_Parent,32514,43442
blackhole,CMP_LQ_PP_OP,2328,43442
blackhole,Src_DAOAck_count,36371,43442
blackhole,Trs_DAOAck_count,36371,43442
blackhole,Dst_DAOAck_count,36371,43442
blackhole,RANK_ALT_COUNT,2328,43442
blackhole,CHILD_COUNT,2328,43442
blackhole,hop_count,43107,43442
blackhole,same_parent,368,43442
blackhole,Avg_hop_count,43107,43442
blackhole,PRT_BST_LQ,2328,43442
blackhole,PKT_E2E_DELAY,43107,43442
blackhole,pkt_loss,43107,43442
blackhole,cpkt_loss,368,43442
blackhole,Trp_app_count,43107,43442
dio_suppression,SEGMENT_ID,117779,117991
dio_suppression,APP_LAYER_ARRIVAL_TIME(US),117779,117991
dio_suppression,TRX_LAYER_ARRIVAL_TIME(US),117779,117991
dio_suppression,APP_LAYER_PAYLOAD(Bytes),117779,117991
dio_suppression,TRX_LAYER_PAYLOAD(Bytes),117779,117991
dio_suppression,LOCAL_ADDRESS,117991,117991
dio_suppression,REMOTE_ADDRESS,117991,117991
dio_suppression,CWND,117991,117991
dio_suppression,SEQ_NO,117991,117991
dio_suppression,ACK_NO,117991,117991
dio_suppression,isSyn,117991,117991
dio_suppression,isAck,117991,117991
dio_suppression,isFin,117991,117991
dio_suppression,SEGMENT_LEN,117991,117991
dio_suppression,RSSI(dbm),135,117991
dio_suppression,TX_RX_Distance,135,117991
dio_suppression,Node_Type,11,117991
dio_suppression,NEIGHBOUR_COUNT,11,117991
dio_suppression,Source_Rank,11,117991
dio_suppression,Parrent_Node,11802,117991
dio_suppression,Number_of_Sibils,11802,117991
dio_suppression,Parents_Count,11802,117991
dio_suppression,LQ_SN_PN,11802,117991
dio_suppression,Sibiling_Same_Parent,21163,117991
dio_suppression,CMP_LQ_PP_OP,11802,117991
dio_suppression,Src_DAOAck_count,117991,117991
dio_suppression,Trs_DAOAck_count,117991,117991
dio_suppression,Dst_DAOAck_count,117991,117991
dio_suppression,RANK_ALT_COUNT,75,117991
dio_suppression,CHILD_COUNT,11802,117991
dio_suppression,hop_count,117802,117991
dio_suppression,same_parent,212,117991
dio_suppression,Avg_hop_count,117802,117991
dio_suppression,PRT_BST_LQ,11802,117991
dio_suppression,PKT_E2E_DELAY,117991,117991
dio_suppression,pkt_loss,117802,117991
dio_suppression,cpkt_loss,212,117991
dio_suppression,Trp_app_count,117914,117991
dis_flooding,SEGMENT_ID,65480,65740
dis_flooding,APP_LAYER_ARRIVAL_TIME(US),65480,65740
dis_flooding,TRX_LAYER_ARRIVAL_TIME(US),65480,65740
dis_flooding,NW_LAYER_ARRIVAL_TIME(US),504,65740
dis_flooding,APP_LAYER_PAYLOAD(Bytes),65480,65740
dis_flooding,TRX_LAYER_PAYLOAD(Bytes),65480,65740
dis_flooding,NW_LAYER_PAYLOAD(Bytes),504,65740
dis_flooding,LOCAL_ADDRESS,65740,65740
dis_flooding,REMOTE_ADDRESS,65740,65740
dis_flooding,CWND,65740,65740
dis_flooding,SEQ_NO,65740,65740
dis_flooding,ACK_NO,65740,65740
dis_flooding,isSyn,65740,65740
dis_flooding,isAck,65740,65740
dis_flooding,isFin,65740,65740
dis_flooding,SEGMENT_LEN,65740,65740
dis_flooding,RSSI(dbm),101,65740
dis_flooding,TX_RX_Distance,101,65740
dis_flooding,Node_Type,8,65740
dis_flooding,NEIGHBOUR_COUNT,8,65740
dis_flooding,Source_Rank,8,65740
dis_flooding,Parrent_Node,24209,65740
dis_flooding,Number_of_Sibils,24209,65740
dis_flooding,Parents_Count,24209,65740
dis_flooding,LQ_SN_PN,24209,65740
dis_flooding,Sibiling_Same_Parent,50474,65740
dis_flooding,CMP_LQ_PP_OP,24209,65740
dis_flooding,Src_DAOAck_count,65236,65740
dis_flooding,Trs_DAOAck_count,65236,65740
dis_flooding,Dst_DAOAck_count,65236,65740
dis_flooding,RANK_ALT_COUNT,6185,65740
dis_flooding,CHILD_COUNT,24209,65740
dis_flooding,hop_count,65497,65740
dis_flooding,same_parent,260,65740
dis_flooding,Avg_hop_count,65497,65740
dis_flooding,PRT_BST_LQ,24209,65740
dis_flooding,PKT_E2E_DELAY,65646,65740
dis_flooding,pkt_loss,65497,65740
dis_flooding,cpkt_loss,260,65740
dis_flooding,Trp_app_count,65581,65740
grayhole,SEGMENT_ID,92037,92396
grayhole,APP_LAYER_ARRIVAL_TIME(US),92037,92396
